Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
1992-01-28,16:20,"Near Stepanakert, Azerbaijan",Military - Azerbaijan Air Force,,Agdam - Shusha,Mil Mi-8 (helicopter),47.0,,,47.0,,,0.0
1992-04-14,,"Nairobi, Kenya",Military - Kenyan Air Force,,Nairobi - Laikipia,de Havilland DHC-5 Buffalo,46.0,42.0,4.0,46.0,42.0,4.0,6.0
1992-07-05,17:00,"Near Iyakochchi, Sri Lanka",Military - Sri Lanka Air Force,,Colombo - Jaffna,Shaanxi Y-8D,19.0,13.0,6.0,19.0,13.0,6.0,0.0
1992-07-14,,"Near Nakhichevan, Azerbaijan",Military - Russian Air Force,,Nakhichevan - Rostov,Antonov AN-12V,34.0,27.0,7.0,29.0,24.0,5.0,0.0
1992-07-14,,"Near Bir Fadl, Yemen",Military - Unified Yemen Air Force,,Nakhichevan - Rostov,Antonov An-12,57.0,50.0,7.0,57.0,50.0,7.0,0.0
1992-08-27,,"Near Iquitos, Peru",Military - Peruvian Air Force - TANS,,Estrecho - Iquitos,de Havilland Canada DHC-6 Twin Otter 300,41.0,38.0,3.0,8.0,6.0,2.0,0.0
1992-09-26,18:00,"Near Lagos, Nigeria",Military - Federal Nigerian Air Force,,Lagos - Kaduna,Lockheed C-130H,158.0,154.0,4.0,158.0,154.0,4.0,0.0
1992-10-21,,"Near Lake Caballochoa, Peru",Military - Peruvian Air Force,,,de Havilland Canada DHC-6 Twin Otter 300,11.0,8.0,3.0,8.0,7.0,1.0,0.0
1992-11-11,,"Near Tver, Russia",Military - Russian Air Force,,Migalovo AB - Yerevan,Antonov AN-22A,33.0,26.0,7.0,33.0,26.0,7.0,0.0
1992-11-30,21:20,"Near Harlem, Montana",Military - U.S. Air Force / Military - U.S. Air Force,,,Lockheed C-141B / Lockheed C141B,13.0,0.0,13.0,13.0,0.0,13.0,0.0
1992-12-22,10:00,"Tripoli, Libya",Libya Arab Airlines / Military -  Libya Air Force,1103,Benghazi - Tripoli,Boeing B-727-2L5 / MiG23UB,157.0,147.0,10.0,157.0,147.0,10.0,0.0
1993-02-08,14:15,"Near Tehran, Iran",Iran Air Tours  /  Military - Iranian Air Force,,Tehran - Khoram,Tupolev TU-154M / Sukhoi Su-24,133.0,119.0,14.0,133.0,119.0,14.0,0.0
1993-04-27,23:00,"Off  Libreville, Gambia",Military - Zambian Air Force,,Lusaka - Libreville - Dakar,de Havilland  Canada  DHC-5D Buffalo,30.0,25.0,5.0,30.0,25.0,5.0,0.0
1993-04-27,,"Near Kholm, Afghanistan",Military - Afghan Republican Air Force,,Kabul - Mazar- Sharif,Antonov AN-32,76.0,71.0,5.0,76.0,71.0,5.0,0.0
1993-12-15,14:00,"Near Naga, Philippines",Military - Philippine Air Force,,Manila - Naga,Lockheed C-130H,29.0,23.0,6.0,29.0,23.0,6.0,0.0
1994-03-14,,"Off Malindi, Kenya",Military - U.S. Air Force,,Mombasa - Mogadishu,Lockheed C-130H Hercules,8.0,0.0,8.0,8.0,0.0,8.0,0.0
1994-03-17,22:30,Near Nag,Military - Iranian Air Force,-,Tehran - Moscow,Lockheed Hercules C-130,32.0,19.0,13.0,32.0,19.0,13.0,0.0
1994-06-02,18:00,"Near Campbeltown, Scotland",Military - Royal Air Force,,Aldergrove AB - Fort George,Boeing Vertol Chinook HC-2 (helicopter),29.0,25.0,4.0,29.0,25.0,4.0,0.0
1994-08-05,08:50,"Near Boda, Russia",Military - Russian Air Force,,Dzhida - Boda,Antonov AN-12,47.0,41.0,6.0,47.0,41.0,6.0,0.0
1994-10-14,22:00,"Near Formoso do Aragala, Brazil",Military - Brazilian Air Force,,Rio de Janeiro - Belem,Lockheed C-130E,21.0,15.0,6.0,21.0,15.0,6.0,0.0
1995-01-05,20:45,"Isfahan, Iran",Military - Iranian Air Force,,Isfahan - Tehran,Lockheed 1329 Jetstar 8,12.0,6.0,6.0,12.0,6.0,6.0,0.0
1995-04-29,,"Near Palaly AFB, Sri Lanka",Military - Sri Lanka Air Force,,Anuradhapura - Palaly AFB,Hawker Siddeley HS-748-357/2B SCD,52.0,49.0,3.0,52.0,49.0,3.0,0.0
1995-05-13,,"Near Boise, Idaho",Military - U.S. Air Force,,"Boise, ID - Colorado Springs, CO",Lockheed C-130E Hercules,6.0,0.0,6.0,6.0,0.0,6.0,0.0
1995-06-17,,"Near Cuvela, Angola",Military - Angolan Air Force,,Ondjiva - Catumbela,CASA 212-200 Aviocar,48.0,45.0,3.0,48.0,45.0,3.0,0.0
1995-07-18,,"Near Antananivo, Madagascar",Military - Madagascar Air Force,,Maintirano - Antananivo,Douglas C-47A,34.0,29.0,5.0,34.0,29.0,5.0,0.0
1995-09-02,,"Toronto, Ontario, Canada",Military - Royal Air Force,,Air Show,British Aerospace Nimrod MR-2P,7.0,0.0,7.0,7.0,0.0,7.0,0.0
1995-09-12,07:20,"Off Colombo, Sri Lanka",Military - Sri Lanka Air Force,,Ratmalana - Palali base,Antonov AN-32,81.0,76.0,5.0,81.0,76.0,5.0,0.0
1995-09-22,07:45,"Anchorage, Alaska",Military - U.S. Air Force,27,Anchorage-Elmendorf AFB - Anchorage-Elmendorf AFB,Boeing B-707 (E-3B),24.0,20.0,4.0,24.0,20.0,4.0,0.0
1995-11-09,21:00,"Near Luyaba, Argentina",Military - Argentine Air Force,,Comodoro Rivadavia - Cordoba,Fokker F-27 Friendship 500,53.0,48.0,5.0,53.0,48.0,5.0,0.0
1995-11-22,19:00,"Off Jaffna Peninsula , Sri Lanka",Military - Sri Lanka Air Force,,Colombo - Palay AFB,Antonov AN-32,63.0,57.0,6.0,63.0,57.0,6.0,0.0
1996-01-18,20:20,"Near Kano, Nigeria",Military - Nigerian Air Force,,Lagos - Kano,British Aerospace BAe-125-700B,14.0,10.0,4.0,14.0,10.0,4.0,0.0
1996-02-26,19:00,"Near Jabal Awliya, Sudan",Military - Sudanese Air Force,,El Obeid - Khartoum,Lockheed C-130H,91.0,85.0,6.0,91.0,85.0,6.0,0.0
1996-04-03,14:52,"Near Dubrovnik, Croatia",Military - U.S. Air Force,21,Tizla - Dubrovnik,Boeing B-737-T43,35.0,29.0,6.0,35.0,29.0,6.0,0.0
1996-07-15,18:00,"Near Eindhoven, The Netherlands",Military - Belgian Air Force,,"Villafranca, Italy - Eindhoven AB",Lockheed C-130H,41.0,37.0,4.0,34.0,30.0,4.0,0.0
1996-08-17,23:48,"Near Jackson Hole, Wyoming",Military - U.S. Air Force,,"Jackson Hole, WY - New York, NY",Lockheed C-130H Hercules,9.0,1.0,8.0,9.0,1.0,8.0,0.0
1996-11-22,19:30,"Off Cape Mendocino, CA",Military - U.S. Air Force,,"San Diego, CA - Portland, OR",Lockheed HC-130P Hercules,11.0,0.0,11.0,10.0,0.0,10.0,0.0
1996-11-27,11:54,"Abakan, Siberia, Russia",Military - Russian Air Force,,Abakan - Petropavlosk - Kamchatsky,Ilyushin IL-76MD,23.0,19.0,4.0,23.0,19.0,4.0,0.0
1996-12-17,,"Tver, Russia",Military - Russian Air Force,,St. Petersburg - Krasnodar,Antonov AN-12,18.0,11.0,7.0,18.0,11.0,7.0,0.0
1996-12-24,15:00,"Near Nellore, India",Military - Indian Air Force,,Tanbaram AFB - Hyderabad,Hindustan Aeronautics 748-2,22.0,17.0,5.0,22.0,17.0,5.0,0.0
1997-03-13,18:06,"Near Mashhad, Iran",Military - Iranian Air Force,,Dezful - Mashhad,Lockheed C-130HF,88.0,80.0,8.0,88.0,80.0,8.0,0.0
1997-07-06,,"Near Saravena, Colombia",Military - Colombian Army,,,Mil Mi-17 (helicopter),29.0,25.0,4.0,25.0,21.0,4.0,0.0
1997-09-13,17:10,"Off Namibia, Africa",Military - Luftwaffe / Military - USAF,74,Niamey - Windhoek,Tupolev TU-154M / C-141 Starlifter,33.0,23.0,10.0,33.0,23.0,10.0,0.0
1997-10-10,,"Taipei, Taiwan",Military - Republic of China Air Force,,,Lockheed C-130H Hercules,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1997-12-05,14:46,"Irkutsk-2, Russia",Military - Russian Air Force,,Irkutsk - Vladivostok,Antonov AN-124-100,23.0,17.0,6.0,23.0,17.0,6.0,44.0
1997-12-20,,"Tanagra, Greece",Military - Greek Air Force,,Search mission,Lockheed C-130H Hercules,5.0,0.0,5.0,5.0,0.0,5.0,0.0
1998-01-13,22:30,"Tor Kach, Pakistan",Military - Ariana Afghan Airlines,,Kandahar - Herart,Antonov AN-12BP,51.0,45.0,6.0,51.0,45.0,6.0,0.0
